ssn,accountId,name,date_of_birth,occupation,annual_income
048-04-6658,263347,Kevin Johnson,2019-09-17,Theme park manager,44955.47
494-95-9379,263348,Joseph James,1990-07-22,Occupational therapist,56681.9
228-97-5862,263349,Nancy Johnson,1941-07-11,Professor Emeritus,41141.93
656-29-9634,263350,Jennifer Perry,1931-02-08,"Administrator, local government",100295.96
197-99-0356,263351,David Kelly,2013-05-15,Forensic scientist,108760.26
483-59-3268,263352,William Young,2000-10-07,Health service manager,98287.69
061-71-7820,263353,Dr. Erin Lara,1939-03-19,Television production assistant,68279.0
553-40-0735,263354,Mark Brown,1967-06-12,"Copywriter, advertising",52188.67
685-98-4857,263355,Michael Lucas,2019-06-30,"Buyer, industrial",67483.21
802-05-9662,263356,Diana Krause,1919-03-08,Aid worker,53266.18
141-46-0283,263357,Andre Ware,1906-03-18,Clinical psychologist,60193.91
685-87-4547,263358,Erin Bryant,1994-10-21,Merchant navy officer,107742.77
425-95-9615,263359,Melanie Robinson,1987-11-02,Psychiatrist,66010.83
634-61-5255,263360,Michelle Hicks,1983-11-18,Microbiologist,49192.7
540-99-7401,263361,Taylor Sparks,1988-03-20,Clinical molecular geneticist,61753.61
148-36-4102,263362,Brooke Pearson,2016-11-01,Health service manager,51928.23
270-95-3884,263363,Ann Lucas,1984-03-09,"Production assistant, television",67407.62
127-57-4702,263364,Kyle Clark,1982-01-01,"Scientist, product/process development",41566.42
533-05-0708,263365,Kevin Dawson,1923-11-17,Clinical cytogeneticist,54275.1
403-53-2617,263366,Misty Fisher,1921-02-17,Chief Marketing Officer,95676.47
662-97-2481,263367,Melissa Lawrence,1918-04-08,Outdoor actives/education manager,83975.92
308-98-2636,263368,Kathryn Willis,1918-07-24,Teaching laboratory technician,84215.89
670-96-7726,263369,Jeffrey Nelson,1934-12-28,"Conservator, museum/gallery",47771.6
360-24-3553,263370,David Ellis,1992-07-15,"Journalist, newspaper",49021.73
044-25-0294,263371,Grace Sanchez,1937-05-20,Maintenance engineer,102317.08
558-97-7579,263372,Mr. Robert Rogers,1995-07-11,Production engineer,66239.85
523-87-8050,263373,Keith Hill,1936-01-29,Records manager,98675.18
687-99-0092,263374,Desiree Little,1924-11-08,"Surveyor, quantity",50003.61
314-97-4948,263375,Andrew Johnson,1973-02-13,Herpetologist,58951.36
240-63-7905,263376,Chelsea King,1929-03-17,"Production designer, theatre/television/film",106081.63
402-16-2125,263377,Jonathan Riley,2006-08-27,Exhibon designer,103476.78
744-62-4124,263378,Nancy Turner,1928-03-23,Geophysicist/field seismologist,62264.21
343-35-4987,263379,Jeffrey Hodges,1989-03-03,"Psychotherapist, child",49195.88
596-22-4259,263380,Kathleen Lawrence,1979-08-11,Jewellery designer,69588.71
829-21-2894,263381,Peter Thomas,1927-09-19,Trade union research officer,98372.36
233-63-3634,263382,William Thornton,1994-07-30,"Engineer, control and instrumentation",78863.87
423-54-6399,263383,Allison Clark,1923-02-09,Passenger transport manager,42747.47
509-63-0494,263384,Jackson Rice,1924-09-01,Futures trader,92524.5
801-74-1853,263385,Peter Russo,1986-06-23,Music tutor,57945.82
119-66-3127,263386,Michelle Aguilar,1949-09-11,Product/process development scientist,53887.96
429-14-9660,263387,Danny Cabrera,1978-01-14,"Engineer, drilling",54078.37
863-35-4328,263388,Steven Newman,2008-08-15,Illustrator,56746.49
421-38-5883,263389,Joseph Ortiz,1950-09-22,Heritage manager,89568.68
207-42-9143,263390,Charles Newton,1971-08-27,"Education officer, community",79125.92
532-52-9379,263391,Dr. Lawrence Nguyen,1995-04-16,"Civil engineer, contracting",56134.04
482-76-6863,263392,Joyce Hammond,1912-09-04,Commercial horticulturist,72454.03
888-17-5097,263393,Scott Mendoza,1944-01-10,"Nurse, adult",73034.6
632-55-5233,263394,Cory Valenzuela,1939-04-05,Geographical information systems officer,96760.44
320-83-4862,263395,Jason Murphy,1976-06-05,Building control surveyor,71522.18
830-60-4382,263396,Luke Lopez,1948-03-01,Research scientist (maths),50700.77
445-52-8590,263397,Blake Freeman,1918-04-17,Public relations account executive,100863.55
559-50-8006,263398,Kristin Lang,1988-10-16,"Education officer, environmental",69227.07
042-35-3781,263399,Jason Jones,1967-10-12,Medical illustrator,56428.76
325-93-9578,263400,Andrea Christensen,1947-05-29,"Civil engineer, contracting",56714.11
393-62-7258,263401,Victoria Bates,2008-12-31,"Engineer, structural",71058.37
294-69-2232,263402,Sharon King,1952-06-28,Physiotherapist,84469.68
831-42-3509,263403,Penny Jenkins,1939-10-26,Airline pilot,69993.61
038-29-0335,263404,Alicia Ramirez,1999-06-01,"Designer, exhibon/display",94405.31
131-31-7891,263405,Kelsey Smith,1926-04-04,Counselling psychologist,86078.24
433-92-6007,263406,David Walker,1930-03-14,"Scientist, clinical (histocompatibility and immunogenetics)",60873.28
079-40-6975,263407,Chad Martin,1992-07-20,Interpreter,72509.22
378-14-3601,263408,Sean Rose,2010-04-10,Broadcast journalist,58548.03
821-52-4953,263409,Jerome Herrera,1971-07-22,Futures trader,109280.59
655-87-7778,263410,Kimberly Mcconnell,2010-01-20,Training and development officer,43584.46
366-31-2412,263411,Howard Kennedy,1921-04-20,"Producer, television/film/video",60443.96
582-97-6003,263412,Crystal Moreno,1947-07-03,Licensed conveyancer,64443.36
536-34-5681,263413,Michelle Kennedy,2007-09-09,Tax inspector,77410.95
485-80-1269,263414,Stanley Price,1924-12-31,Writer,41044.25
775-69-9444,263415,Joanna Watson,1927-01-17,Planning and development surveyor,64675.91
265-22-7159,263416,Kaitlyn Ford,1932-07-05,"Research officer, trade union",74961.75
642-54-6481,263417,Erik Boyle,1977-06-08,Jewellery designer,77497.54
462-45-9125,263418,Elizabeth Figueroa,1953-05-27,Water engineer,73433.92
597-23-9468,263419,Hannah Nunez,1950-05-04,Mechanical engineer,64624.2
719-15-1190,263420,Jessica Lopez,2011-01-23,Biomedical engineer,77833.06
559-64-2736,263421,Nicole Barker,1946-04-14,Environmental health practoner,57120.17
629-33-2205,263422,Michael Thomas,1964-02-27,Building surveyor,82490.54
550-88-7682,263423,Erica Glenn,1919-03-03,Psychiatrist,61172.94
721-64-7796,263424,Melinda Garcia,1929-05-05,Occupational therapist,87681.9
711-08-3796,263425,Devon Savage,2000-01-22,"Engineer, materials",85137.28
630-92-4051,263426,Paul Grant,1965-06-01,"Development worker, community",66878.31
166-41-7191,263427,Linda Petersen,1981-10-11,"Surveyor, minerals",88792.62
316-24-6577,263428,Stacy Williams,1989-04-11,Research scientist (maths),109752.57
054-64-5153,263429,Catherine Mullins,2020-06-20,Minerals surveyor,88263.19
